epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,989.505,2.18835,3.17877,2.21774,0.27814,0.09633,0.06754,0.03004,2.25636,2.80902,2.44471,0.000144666,0.000144666,0.000144666
2,1347.25,2.02817,2.6573,2.10529,0.40742,0.09342,0.05578,0.02293,2.30144,3.21884,2.47193,0.000283931,0.000283931,0.000283931
3,1699.8,1.98245,2.59494,2.07287,0.54111,0.04525,0.03492,0.01475,2.40752,3.27035,2.55157,0.000417453,0.000417453,0.000417453
4,2051.36,1.96627,2.54776,2.05676,0.43119,0.12531,0.0992,0.04622,1.9857,2.33529,2.23612,0.000409161,0.000409161,0.000409161
5,2403.43,1.89622,2.40118,1.99143,0.48199,0.08777,0.06992,0.03101,2.28814,2.96432,2.46053,0.000400548,0.000400548,0.000400548
6,2754.5,1.87712,2.35869,1.95982,0.39207,0.11618,0.09914,0.04675,2.0488,2.5348,2.26615,0.000391935,0.000391935,0.000391935
7,3106.83,1.85863,2.31488,1.94224,0.38631,0.14242,0.11033,0.05039,2.01122,2.34178,2.2547,0.000383322,0.000383322,0.000383322
8,3458.99,1.83881,2.26999,1.93074,0.35216,0.13874,0.12363,0.06055,1.95209,2.27861,2.15513,0.000374709,0.000374709,0.000374709
9,3811.48,1.81826,2.22057,1.90605,0.36422,0.14985,0.12828,0.06206,1.89996,2.18882,2.12619,0.000366096,0.000366096,0.000366096
10,4163.53,1.7914,2.17818,1.88441,0.30185,0.15693,0.12371,0.05844,1.93291,2.24284,2.13714,0.000357483,0.000357483,0.000357483
11,4515.08,1.7651,2.1255,1.85781,0.23314,0.16754,0.12405,0.05891,1.96385,2.23083,2.13126,0.00034887,0.00034887,0.00034887
12,4866.56,1.76611,2.1056,1.8547,0.24313,0.18362,0.1543,0.07377,1.82188,2.04865,2.0139,0.000340257,0.000340257,0.000340257
13,5219.45,1.76362,2.08312,1.85075,0.2139,0.12669,0.09919,0.04695,2.04386,2.58613,2.26892,0.000331644,0.000331644,0.000331644
14,5570.39,1.74294,2.06539,1.82927,0.20353,0.16838,0.13299,0.06343,1.90432,2.13483,2.07173,0.000323031,0.000323031,0.000323031
15,5921.74,1.74056,2.03587,1.83021,0.29132,0.20159,0.16516,0.07965,1.84108,1.99014,2.02357,0.000314418,0.000314418,0.000314418
16,6274.4,1.72746,2.0263,1.82187,0.34733,0.19753,0.164,0.07855,1.81861,1.95521,2.0286,0.000305805,0.000305805,0.000305805
17,6626.47,1.71869,1.99312,1.80865,0.2043,0.18303,0.14545,0.07165,1.84773,2.07775,2.05038,0.000297192,0.000297192,0.000297192
18,6977.92,1.71002,1.98421,1.80627,0.2921,0.18695,0.16202,0.07727,1.82999,1.99661,2.02267,0.000288579,0.000288579,0.000288579
19,7329.54,1.70011,1.96411,1.79718,0.24958,0.20307,0.1702,0.08085,1.83061,1.98078,2.01522,0.000279966,0.000279966,0.000279966
20,7682.19,1.69338,1.95925,1.7933,0.18309,0.15605,0.12356,0.05968,1.89575,2.34148,2.1017,0.000271353,0.000271353,0.000271353
21,8033.8,1.6994,1.96233,1.79916,0.28139,0.23606,0.19961,0.09191,1.7855,1.89091,1.95437,0.00026274,0.00026274,0.00026274
22,8386.49,1.67461,1.92486,1.77831,0.23454,0.23657,0.19379,0.0917,1.76642,1.86862,1.95648,0.000254127,0.000254127,0.000254127
23,8737.95,1.67666,1.90388,1.76332,0.24235,0.21926,0.18212,0.08609,1.76686,1.88487,1.95343,0.000245514,0.000245514,0.000245514
24,9089.76,1.65978,1.89912,1.76317,0.25217,0.22201,0.1824,0.08759,1.77252,1.86937,1.97088,0.000236901,0.000236901,0.000236901
