epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.84,2.19506,3.28716,2.15489,0.23271,0.13009,0.08891,0.04158,2.1106,2.78634,2.31761,0.000144666,0.000144666,0.000144666
2,501.596,1.95008,2.53239,1.96871,0.3431,0.12664,0.10122,0.04723,2.02275,2.37244,2.14116,0.000283931,0.000283931,0.000283931
3,747.631,1.91593,2.45846,1.94166,0.34537,0.1435,0.1211,0.05403,2.01096,2.38926,2.16265,0.000417453,0.000417453,0.000417453
4,993.387,1.88429,2.36699,1.91648,0.43738,0.13997,0.11801,0.05328,1.99232,2.38678,2.19747,0.000409161,0.000409161,0.000409161
5,1238.68,1.83127,2.24363,1.86679,0.36213,0.1598,0.1336,0.0596,1.97664,2.16294,2.04769,0.000400548,0.000400548,0.000400548
6,1483.81,1.81128,2.23212,1.84691,0.29744,0.14798,0.12597,0.05816,1.95365,2.22404,2.08162,0.000391935,0.000391935,0.000391935
7,1728.53,1.7826,2.17597,1.82088,0.29527,0.18078,0.14442,0.06805,1.887,2.12791,1.96678,0.000383322,0.000383322,0.000383322
8,1974.01,1.77464,2.10651,1.79793,0.31367,0.1851,0.15628,0.07531,1.87023,2.04291,1.96811,0.000374709,0.000374709,0.000374709
9,2219.8,1.77387,2.09936,1.79433,0.26548,0.15877,0.13069,0.06407,1.8969,2.22009,2.01741,0.000366096,0.000366096,0.000366096
10,2464.7,1.73936,2.05429,1.77156,0.31057,0.20047,0.17864,0.08482,1.80946,1.93894,1.96065,0.000357483,0.000357483,0.000357483
11,2710.48,1.7369,2.05141,1.77111,0.27477,0.22171,0.17423,0.08184,1.82135,1.97589,1.91825,0.00034887,0.00034887,0.00034887
12,2956.12,1.72413,2.01813,1.76827,0.26099,0.17076,0.14366,0.06922,1.83998,2.16959,1.99854,0.000340257,0.000340257,0.000340257
13,3201.73,1.71463,1.9866,1.75239,0.2675,0.22243,0.19658,0.09204,1.80726,1.88601,1.93422,0.000331644,0.000331644,0.000331644
14,3447.63,1.69946,1.96582,1.73796,0.24078,0.21105,0.17374,0.08259,1.81434,1.96998,1.90617,0.000323031,0.000323031,0.000323031
15,3692.79,1.69148,1.95197,1.72453,0.30637,0.20561,0.17704,0.08426,1.80421,1.93762,1.90446,0.000314418,0.000314418,0.000314418
16,3937.93,1.68639,1.93736,1.72383,0.30599,0.20759,0.17846,0.08561,1.81623,1.90662,1.88536,0.000305805,0.000305805,0.000305805
17,4183.35,1.6662,1.89879,1.68796,0.27184,0.23907,0.20419,0.09744,1.7897,1.87192,1.8624,0.000297192,0.000297192,0.000297192
18,4429.18,1.66664,1.88737,1.70327,0.26658,0.24297,0.20386,0.09765,1.78175,1.8487,1.86309,0.000288579,0.000288579,0.000288579
19,4674.65,1.65067,1.87246,1.69716,0.29221,0.26636,0.22736,0.10871,1.7258,1.81014,1.85476,0.000279966,0.000279966,0.000279966
20,4920.1,1.65695,1.87709,1.70151,0.28286,0.2558,0.21872,0.10386,1.74812,1.81762,1.84717,0.000271353,0.000271353,0.000271353
